Date,Open,High,Low,Close,Volume,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI_14,Momentum_10,prev_close,True_Range,ATR_14,PSAR,target
1994-05-24,693.2352294921875,693.2352294921875,693.2352294921875,693.2352294921875,364000,-0.020202860513951038,-0.002102920953475973,-0.0010498904560440891,-0.017681359107812433,0.0,-0.020202860513951038,-0.02230578146742701,-0.0233556719234711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.962928916405062,-6.704889465333961,707.3829956054688,14.14776611328125,5.711439773097213,741.0702062120267,-0.026116739700430713
1994-05-25,675.3645629882812,675.3645629882812,675.3645629882812,675.3645629882812,322000,-0.026116739700430713,-0.020202860513951038,-0.002102920953475973,-0.0010498904560440891,0.0,-0.026116739700430713,-0.04631960021438175,-0.048422521167857724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.08750169959748,-10.011618200839543,693.2352294921875,17.87066650390625,6.579955968155002,734.3733094712493,-0.0077478463505267214
1994-05-26,670.1521606445312,670.1521606445312,670.1521606445312,670.1521606445312,529333,-0.0077478463505267214,-0.026116739700430713,-0.020202860513951038,-0.002102920953475973,0.0,-0.0077478463505267214,-0.033864586050957435,-0.05406744656490847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.926408172681832,-10.528605158564435,675.3645629882812,5.21240234375,6.482273566411789,724.9319100339744,-0.008928632377961598
1994-05-27,664.1952514648438,664.1952514648438,664.1952514648438,664.1952514648438,448000,-0.008928632377961598,-0.0077478463505267214,-0.026116739700430713,-0.020202860513951038,0.0,-0.008928632377961598,-0.01667647872848832,-0.04279321842891903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.669419700562102,-11.32390659091048,670.1521606445312,5.9569091796875,6.444747538788626,715.0715551438747,0.0
1994-05-30,664.1952514648438,664.1952514648438,664.1952514648438,664.1952514648438,0,0.0,-0.008928632377961598,-0.0077478463505267214,-0.026116739700430713,0.0,0.0,-0.008928632377961598,-0.01667647872848832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.669419700562102,-10.441761416475488,664.1952514648438,0.0,5.984408428875152,704.8962944080685,0.0
1994-05-31,664.1952514648438,664.1952514648438,664.1952514648438,664.1952514648438,0,0.0,0.0,-0.008928632377961598,-0.0077478463505267214,0.0,0.0,0.0,-0.008928632377961598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.669419700562102,-9.899017648480008,664.1952514648438,0.0,5.556950683955498,696.7560858194236,0.004474006765891936
1994-06-01,667.1735229492188,667.1735229492188,667.1735229492188,667.1735229492188,519333,0.004474006765891936,0.0,0.0,-0.008928632377961598,0.0,0.004474006765891936,0.004474006765891936,0.004474006765891936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.947909281423463,-7.6289199399784975,664.1952514648438,2.978271484375,5.372759312556892,690.2439189485076,0.008889495506596568
1994-06-02,673.1307983398438,673.1307983398438,673.1307983398438,673.1307983398438,512000,0.008889495506596568,0.004474006765891936,0.0,0.0,0.0,0.008889495506596568,0.013363502272488503,0.013363502272488503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.19319989493127,-5.1416432020302825,667.1735229492188,5.957275390625,5.4145104609903285,685.0341854517749,0.0
1994-06-03,673.1307983398438,673.1307983398438,673.1307983398438,673.1307983398438,403333,0.0,0.008889495506596568,0.004474006765891936,0.0,0.0,0.0,0.008889495506596568,0.013363502272488503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.19319989493127,-5.0420000204922255,673.1307983398438,0.0,5.027759713776733,680.8663986543886,0.03905024979640892
1994-06-06,699.9367065429688,699.9367065429688,699.9367065429688,699.9367065429688,473333,0.03905024979640892,0.0,0.008889495506596568,0.004474006765891936,0.0,0.03905024979640892,0.03905024979640892,0.04793974530300549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.44730699215921,-1.0526531042955753,673.1307983398438,26.805908203125,6.583341748730182,664.1952514648438,0.016878126447743114
